category,technique_name,description,thesis_application
collaborative,Yes And Building,"Build momentum through positive additions where each idea becomes a launching pad - use prompts like 'Yes and we could also...' or 'Building on that idea...' to create energetic collaborative flow","Enrichir une problématique en ajoutant des dimensions successives"
collaborative,Brain Writing Round Robin,"Silent idea generation followed by building on others' written concepts - gives quieter voices equal contribution","Générer plusieurs angles de recherche par écrit avant de les combiner"
collaborative,Random Stimulation,"Use random words/images as creative catalysts to force unexpected connections","Trouver des connexions inattendues entre votre sujet et d'autres domaines"
collaborative,Role Playing,"Generate solutions from multiple stakeholder perspectives to build empathy","Explorer votre sujet depuis la perspective de différents acteurs (patients, médecins, managers...)"
creative,What If Scenarios,"Explore radical possibilities by questioning all constraints and assumptions","Questionner les postulats de votre domaine de recherche"
creative,Analogical Thinking,"Find creative solutions by drawing parallels to other domains","Transférer des modèles d'autres disciplines vers votre sujet"
creative,Reversal Inversion,"Deliberately flip problems upside down to reveal hidden assumptions","Reformuler votre problématique en inversant ses termes"
creative,First Principles Thinking,"Strip away assumptions to rebuild from fundamental truths","Identifier les vérités fondamentales de votre domaine avant de construire"
creative,Forced Relationships,"Connect unrelated concepts to spark innovative bridges","Créer des ponts entre concepts apparemment non liés dans votre revue de littérature"
creative,Time Shifting,"Explore solutions across different time periods","Analyser l'évolution historique de votre problématique"
creative,Metaphor Mapping,"Use extended metaphors as thinking tools to explore problems","Utiliser des métaphores pour expliquer des concepts complexes"
creative,Cross-Pollination,"Transfer solutions from completely different industries","Importer des solutions d'autres secteurs vers le vôtre"
creative,Concept Blending,"Merge two or more existing concepts to create entirely new categories","Créer un nouveau cadre conceptuel en fusionnant des théories existantes"
creative,Reverse Brainstorming,"Generate problems instead of solutions to identify hidden opportunities","Identifier ce qui pourrait invalider votre hypothèse"
deep,Five Whys,"Drill down through layers of causation to uncover root causes","Approfondir votre problématique jusqu'aux causes racines"
deep,Morphological Analysis,"Systematically explore all possible parameter combinations","Cartographier systématiquement toutes les dimensions de votre sujet"
deep,Provocation Technique,"Use deliberately provocative statements to extract useful ideas","Challenger les idées reçues de votre domaine"
deep,Assumption Reversal,"Challenge and flip core assumptions to rebuild from new foundations","Identifier et questionner les présupposés de la littérature existante"
deep,Question Storming,"Generate questions before seeking answers to properly define problem space","Générer toutes les questions de recherche possibles avant de choisir"
deep,Constraint Mapping,"Identify and visualize all constraints to find promising pathways","Cartographier les limites et contraintes de votre recherche"
deep,Failure Analysis,"Study successful failures to extract valuable insights","Analyser les échecs documentés dans votre domaine pour en tirer des leçons"
deep,Emergent Thinking,"Allow solutions to emerge organically without forcing linear progression","Laisser émerger naturellement les patterns de vos données"
introspective,Inner Child Conference,"Channel pure childhood curiosity and wonder","Retrouver une curiosité naïve face à votre sujet"
introspective,Shadow Work Mining,"Explore what you're actively avoiding or resisting","Identifier ce que vous évitez d'explorer dans votre recherche"
introspective,Values Archaeology,"Excavate deep personal values driving decisions","Comprendre pourquoi ce sujet vous tient à cœur"
introspective,Future Self Interview,"Seek wisdom from wiser future self","Imaginer ce que votre thèse aura apporté dans 10 ans"
introspective,Permission Giving,"Grant explicit permission to think impossible thoughts","Vous autoriser à explorer des pistes audacieuses"
structured,SCAMPER Method,"Systematic creativity: Substitute, Combine, Adapt, Modify, Put to other uses, Eliminate, Reverse","Appliquer systématiquement SCAMPER à votre problématique"
structured,Six Thinking Hats,"Explore through six perspectives: facts, emotions, benefits, risks, creativity, process","Analyser votre sujet sous les 6 chapeaux de Bono"
structured,Mind Mapping,"Visually branch ideas from central concept","Créer une carte mentale de votre cadre théorique"
structured,Resource Constraints,"Generate innovative solutions by imposing extreme limitations","Définir le périmètre minimal viable de votre recherche"
structured,Decision Tree Mapping,"Map out all possible decision paths and outcomes","Cartographier les différentes directions possibles pour votre thèse"
theatrical,Time Travel Talk Show,"Interview past/present/future selves for temporal wisdom","Interviewer les pionniers historiques de votre domaine (exercice imaginaire)"
theatrical,Alien Anthropologist,"Examine familiar problems through completely foreign eyes","Regarder votre sujet comme un observateur externe total"
theatrical,Dream Fusion Laboratory,"Start with impossible fantasy solutions then reverse-engineer","Imaginer la solution idéale puis remonter vers le réalisable"
theatrical,Persona Journey,"Embody different archetypes to access diverse wisdom","Incarner différents profils pour comprendre leurs perspectives"
wild,Chaos Engineering,"Deliberately break things to discover robust solutions","Stress-tester votre méthodologie contre les pires scénarios"
wild,Anti-Solution,"Generate ways to make the problem worse","Identifier ce qui rendrait votre recherche inutile"
biomimetic,Nature's Solutions,"Study how nature solves similar problems","Chercher des analogies dans la nature pour votre problématique"
biomimetic,Ecosystem Thinking,"Analyze problem as ecosystem","Voir votre terrain de recherche comme un écosystème"
cultural,Indigenous Wisdom,"Draw upon traditional knowledge systems","Explorer les savoirs traditionnels sur votre sujet"
cultural,Mythic Frameworks,"Use myths and archetypal stories as frameworks","Identifier les récits archétypaux dans votre domaine"
